,MPI tag,MLI tag
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,Move Around,
91,Move Around,Kick
92,Move Around,
93,Move Around,
94,Move Around,
95,Move Around,
96,Move Around,Kick
97,Move Around,
98,Move Around,
99,Move Around,
100,Move Around,
101,Move Around,
102,Move Around,
103,Move Around,
104,Move Around,
105,Move Around,
106,Move Around,
107,Move Around,
108,Move Around,
109,Move Around,
110,Move Around,
111,Move Around,
112,Move Around,
113,Move Around,
114,Move Around,
115,Move Around,
116,Move Around,
117,Move Around,
118,Move Around,
119,Move Around,
120,Move Around,
121,Move Around,
122,Move Around,
123,Move Around,
124,Move Around,
125,Move Around,
126,Move Around,
127,Move Around,
128,Move Around,Kick
129,Move Around,
130,Move Around,
131,Move Around,Kick
132,Move Around,
133,Move Around,
134,Move Around,
135,Move Around,
136,Move Around,
137,Move Around,
138,Move Around,
139,Move Around,Kick
140,Move Around,
141,Move Around,
142,Move Around,Kick
143,Move Around,Kick
144,Move Around,
145,Move Around,
146,Move Around,
147,Move Around,Kick
148,Move Around,
149,Move Around,
150,Move Around,Kick
151,Move Around,
152,Move Around,Kick
153,Move Around,
154,Move Around,
155,Move Around,Kick
156,Move Around,Kick
157,Move Around,
158,Move Around,Kick
159,Move Around,
160,Move Around,
161,Move Around,
162,Move Around,
163,Move Around,
164,Move Around,
165,Move Around,Kick
166,Move Around,
167,Move Around,
168,Move Around,
169,Move Around,
170,Move Around,
171,Move Around,
172,Move Around,
173,Move Around,
174,Move Around,Kick
175,Move Around,
176,Move Around,
177,Move Around,
178,Move Around,
179,Move Around,
180,Move Around,
181,Move Around,
182,Move Around,
183,Move Around,
184,Move Around,
185,Move Around,
186,Move Around,
187,Move Around,
188,Move Around,
189,Move Around,
190,Move Around,
191,Move Around,
192,Move Around,
193,Move Around,
194,Move Around,
195,Move Around,
196,Move Around,
197,Move Around,
198,Move Around,
199,Move Around,
200,Move Around,
201,Move Around,
202,Move Around,
203,Move Around,
204,Move Around,
205,Move Around,
206,Move Around,
207,Move Around,
208,Move Around,
209,Move Around,
210,Move Around,
211,Move Around,
212,Move Around,
213,Move Around,
214,Move Around,
215,Move Around,
216,Move Around,
217,Move Around,
